NIM,Nama,Tahun,Arsitektur dan Organisasi Komputer,Aljabar Linier dan Matriks,Pancasila,Etika Profesi,Pemrograman Dasar,Bahasa Indonesia,Basis Data,Jaringan Komputer,Agama Islam,Matematika Diskrit,Kecerdasan Buatan,Sains Komputasi,Struktur Data,Statistika,Pemrograman Berbasis Platform,Sistem Operasi,Kewarganegaraan,Pemrograman Berorientasi Obyek,Interaksi Manusia dan Komputer,Matematika,Total_SKS,IPK,Minat_Jurusan
220012,Iwan Ramadhan,2022,2.7,2.3,3.0,3.0,2.3,2.7,2.3,3.7,3.3,2.7,2.3,3.0,2.0,2.7,3.0,4.0,1.0,1.0,3.7,3.0,60,2.69,Cyber Security
220013,Doni Rahayu,2022,2.0,2.0,3.3,2.3,3.3,2.7,3.0,2.3,3.7,3.7,2.3,3.3,3.0,3.3,4.0,3.7,1.0,3.3,3.0,2.7,60,2.9,RPL
220014,Dedi Zulkarnain,2022,2.3,2.0,3.0,2.3,1.0,3.7,4.0,2.0,3.7,3.0,3.7,3.7,2.3,3.3,3.3,4.0,1.0,2.3,2.3,4.0,60,2.84,AI Engineering
220015,Putu Lestari,2022,3.3,3.0,2.0,2.7,4.0,2.0,3.0,1.0,4.0,2.3,2.3,4.0,4.0,2.0,2.7,2.3,3.7,4.0,1.0,3.0,60,2.82,RPL
220016,Indah Harahap,2022,1.0,1.0,3.7,1.0,2.3,2.7,3.7,2.0,3.7,2.7,3.7,3.3,1.0,3.0,3.0,3.7,2.0,2.0,4.0,3.3,60,2.64,AI Engineering
220017,Laila Mahendra,2022,2.7,2.3,2.0,3.0,2.0,2.3,2.3,3.7,2.7,2.3,4.0,3.3,4.0,3.3,3.0,3.3,3.0,3.3,2.7,3.7,60,2.94,AI Engineering
220018,Iwan Barus,2022,2.3,4.0,2.3,2.7,2.0,2.0,2.7,3.3,3.7,4.0,3.3,3.3,3.0,3.0,2.0,3.3,3.0,2.0,4.0,3.7,60,2.98,AI Engineering
220019,Andi Susanto,2022,3.3,1.0,4.0,3.0,3.7,3.0,4.0,3.0,3.7,4.0,3.7,3.7,4.0,3.3,1.0,2.0,3.7,3.3,1.0,3.3,60,3.08,RPL
220020,Citra Saputra,2022,2.3,2.3,4.0,3.7,3.7,2.3,2.0,4.0,2.7,4.0,2.0,2.7,4.0,4.0,2.7,4.0,3.3,4.0,4.0,2.7,60,3.22,Cyber Security
220021,Citra Ginting,2022,3.3,3.7,3.0,3.0,1.0,2.7,2.3,3.7,3.7,4.0,2.7,4.0,3.3,1.0,3.3,3.0,2.7,1.0,2.0,4.0,60,2.87,Cyber Security
220022,Vina Setiawan,2022,2.3,2.0,2.3,3.7,4.0,1.0,1.0,4.0,2.3,2.3,1.0,2.0,1.0,3.0,2.3,3.0,2.3,3.3,1.0,2.0,60,2.29,Cyber Security
220023,Indah Hidayat,2022,1.0,3.3,4.0,4.0,3.0,2.3,1.0,2.0,2.7,3.0,3.7,3.3,2.0,3.7,2.3,2.3,3.0,4.0,3.7,3.7,60,2.9,AI Engineering
220024,Joko Chaniago,2022,2.0,3.7,3.3,3.3,4.0,2.3,2.0,2.3,3.7,2.3,4.0,4.0,2.0,3.7,3.0,1.0,3.7,1.0,1.0,3.3,60,2.78,AI Engineering
220025,Putu Siregar,2022,4.0,3.0,1.0,3.0,4.0,3.3,3.0,3.3,2.3,2.3,3.0,2.7,3.3,2.3,4.0,4.0,3.7,3.0,3.3,3.0,60,3.08,RPL
220026,Rosa Barus,2022,2.3,3.7,3.7,3.7,2.3,3.0,4.0,3.0,3.7,2.0,3.7,4.0,2.3,2.3,2.7,3.7,2.3,2.3,1.0,2.0,60,2.88,Cyber Security
220027,Gani Susanto,2022,4.0,2.7,3.7,2.3,4.0,1.0,3.3,2.0,1.0,4.0,3.7,2.7,4.0,2.3,3.7,2.3,1.0,3.3,2.0,2.0,60,2.75,RPL
220028,Aris Utami,2022,2.7,2.7,1.0,2.3,3.0,1.0,3.3,2.7,3.0,2.0,3.3,2.3,4.0,3.3,4.0,3.3,2.3,4.0,2.7,2.0,60,2.74,RPL
220029,Laila Pohan,2022,1.0,1.0,2.0,3.0,1.0,3.0,2.7,3.0,1.0,2.0,3.3,4.0,4.0,3.3,2.3,4.0,4.0,2.3,4.0,3.0,60,2.69,AI Engineering
220030,Dewi Saputra,2022,3.0,3.0,3.0,2.3,3.7,2.7,4.0,3.3,4.0,2.7,2.7,3.3,3.3,4.0,1.0,2.3,2.7,4.0,2.3,3.0,60,3.01,RPL
220031,Gani Siregar,2022,1.0,3.0,3.0,3.0,1.0,3.7,3.3,3.0,3.0,3.3,3.3,3.3,2.3,3.3,1.0,1.0,2.3,3.0,2.7,3.3,60,2.64,AI Engineering
220032,Euis Hardi,2022,1.0,3.3,2.7,3.7,2.7,2.0,2.3,3.0,1.0,3.7,2.3,2.7,4.0,3.7,2.3,3.3,2.7,1.0,3.3,4.0,60,2.73,Cyber Security
220033,Euis Pratama,2022,2.7,2.7,2.0,4.0,3.3,2.0,3.7,4.0,2.7,2.7,2.3,2.0,2.0,4.0,4.0,3.0,2.0,2.7,2.7,1.0,60,2.77,Cyber Security
220034,Made Mulyono,2022,2.0,2.7,3.7,3.3,3.7,1.0,3.0,3.3,2.0,4.0,3.3,1.0,3.7,1.0,2.0,3.7,2.0,3.0,2.0,3.3,60,2.69,RPL
220035,Indah Wulandari,2022,3.3,2.7,1.0,3.3,3.3,2.0,2.0,2.0,3.7,1.0,3.0,3.0,2.0,3.7,3.7,3.3,2.0,1.0,3.0,3.3,60,2.61,AI Engineering
220036,Bambang Fitriani,2022,3.0,2.0,2.3,3.0,3.0,3.0,2.3,4.0,3.0,2.3,4.0,3.7,2.3,4.0,3.7,2.7,2.3,4.0,4.0,3.3,60,3.09,AI Engineering
220037,Euis Harahap,2022,2.7,3.7,3.7,3.7,2.0,4.0,2.3,3.7,3.0,3.7,3.7,3.7,1.0,3.0,2.0,2.0,2.0,2.3,1.0,3.3,60,2.83,AI Engineering
220038,Dedi Hasibuan,2022,3.0,3.7,2.0,3.7,2.0,1.0,3.7,3.3,2.3,4.0,2.7,4.0,3.3,3.0,3.0,3.0,4.0,2.3,3.7,2.7,60,3.02,Cyber Security
220039,Agus Lubis,2022,1.0,1.0,4.0,3.3,2.3,3.0,4.0,4.0,2.7,2.7,2.7,2.7,3.7,2.7,3.3,3.0,3.7,3.0,2.0,4.0,60,2.94,Cyber Security
220040,Vina Wulandari,2022,1.0,2.0,2.7,3.7,1.0,4.0,3.7,2.3,3.3,2.7,3.0,4.0,2.7,4.0,3.7,3.7,4.0,3.7,2.3,3.0,60,3.03,AI Engineering
220041,Farhan Fitriani,2022,2.7,3.7,1.0,3.3,1.0,4.0,4.0,4.0,2.7,2.3,1.0,3.3,3.7,3.7,1.0,3.7,3.3,4.0,3.3,1.0,60,2.83,Cyber Security
220042,Fajar Sari,2022,2.0,1.0,3.3,3.7,3.3,2.3,1.0,2.3,3.3,1.0,3.7,3.7,2.3,3.3,3.3,2.3,4.0,2.7,3.7,3.0,60,2.76,AI Engineering
220043,Joko Barus,2022,2.3,2.0,3.3,3.7,3.0,2.3,2.0,3.0,4.0,1.0,2.7,2.7,4.0,2.3,2.0,3.3,3.3,2.0,3.0,4.0,60,2.79,Cyber Security
220044,Hendra Saputra,2022,3.3,3.3,1.0,3.0,4.0,2.0,3.7,3.0,3.0,1.0,2.7,2.0,2.7,1.0,2.0,3.3,4.0,2.0,4.0,2.7,60,2.69,Cyber Security
220045,Maya Lubis,2022,3.7,3.7,2.0,4.0,3.0,2.7,4.0,3.3,1.0,2.7,1.0,2.0,3.7,2.3,1.0,1.0,3.3,4.0,3.7,2.0,60,2.7,RPL
220046,Eko Lestari,2022,3.0,2.7,3.0,3.0,1.0,1.0,2.3,3.3,2.3,2.0,3.3,1.0,2.0,2.3,3.7,3.0,4.0,3.0,3.0,4.0,60,2.65,Cyber Security
220047,Euis Simanjuntak,2022,2.7,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.3,2.3,4.0,3.3,2.7,3.7,4.0,3.3,2.7,1.0,3.3,3.3,60,2.58,AI Engineering
220048,Citra Pasaribu,2022,4.0,2.7,2.7,2.0,4.0,1.0,3.3,2.3,3.0,3.3,2.7,3.7,3.0,3.7,2.0,2.7,2.0,3.0,4.0,3.3,60,2.92,RPL
220049,Lani Utami,2022,3.3,1.0,2.3,3.0,3.3,4.0,3.3,3.3,4.0,3.7,2.0,2.3,3.7,2.7,2.0,3.0,2.7,3.7,3.7,3.0,60,3.0,RPL
220050,Zaki Pratama,2022,3.0,2.7,2.7,4.0,3.7,2.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,1.0,2.3,3.7,2.3,4.0,1.0,1.0,60,2.72,RPL
220051,Budi Utami,2022,2.0,2.3,2.7,3.0,3.0,2.3,4.0,2.7,1.0,4.0,1.0,4.0,4.0,3.3,3.3,3.0,3.7,3.0,1.0,2.7,60,2.8,RPL
220052,Tania Ginting,2022,3.0,3.3,2.3,2.0,3.0,1.0,3.7,2.0,1.0,3.0,4.0,3.0,2.0,3.3,2.3,3.7,2.0,3.3,2.3,3.3,60,2.67,AI Engineering
220053,Ayu Manurung,2022,1.0,2.0,2.7,2.3,3.7,3.3,3.0,3.3,4.0,4.0,2.7,4.0,3.0,3.7,2.0,3.3,2.0,4.0,4.0,2.7,60,3.04,RPL
220054,Agus Santoso,2022,2.7,1.0,3.7,2.3,2.3,2.7,2.7,2.3,3.7,3.3,4.0,3.7,4.0,3.7,2.7,3.7,2.7,3.3,2.7,3.0,60,3.01,AI Engineering
220055,Dedi Ramadhan,2022,3.3,3.0,2.0,4.0,3.7,3.0,2.7,2.7,4.0,2.0,3.3,3.7,3.0,3.7,3.7,3.7,2.0,2.0,2.3,3.3,60,3.06,AI Engineering
220056,Ayu Siahaan,2022,3.7,1.0,2.3,3.7,3.7,2.7,3.3,2.0,1.0,3.7,3.3,2.0,4.0,2.7,2.7,4.0,1.0,3.3,2.3,4.0,60,2.82,RPL
220057,Rosa Simanjuntak,2022,1.0,1.0,3.7,4.0,2.0,3.7,1.0,3.7,3.3,2.0,4.0,3.3,3.0,3.7,3.0,3.3,2.7,4.0,2.7,2.3,60,2.87,Cyber Security
220058,Doni Sitepu,2022,2.3,4.0,3.7,2.7,3.0,4.0,3.0,1.0,1.0,3.3,1.0,2.0,3.0,3.7,3.7,1.0,2.7,4.0,2.7,1.0,60,2.64,RPL
220059,Euis Siregar,2022,2.0,2.3,3.3,3.7,1.0,3.3,1.0,4.0,4.0,2.0,2.3,2.7,3.7,3.0,2.3,3.0,3.7,2.7,1.0,2.3,60,2.67,Cyber Security
220060,Eko Barus,2022,3.7,2.0,2.3,2.0,2.7,2.7,1.0,3.7,2.3,4.0,3.7,3.3,3.7,4.0,3.7,2.3,2.3,2.7,3.7,3.7,60,2.98,AI Engineering
220061,Lani Siregar,2022,2.0,4.0,3.7,2.0,3.3,2.0,3.7,1.0,2.7,2.3,3.7,2.0,3.0,1.0,3.7,3.0,2.7,3.7,2.3,3.7,60,2.78,RPL
220062,Zaki Siahaan,2022,3.7,4.0,2.0,2.7,4.0,3.3,3.3,4.0,3.0,3.7,1.0,4.0,3.0,3.3,1.0,4.0,1.0,4.0,4.0,2.0,60,3.05,RPL
220063,Farhan Pratama,2022,2.0,2.3,4.0,3.7,1.0,3.7,2.7,3.3,2.7,3.7,2.3,3.3,2.3,3.0,2.0,3.7,2.7,4.0,3.7,2.0,60,2.91,Cyber Security
220064,Lani Fitriani,2022,2.7,3.3,2.7,3.3,1.0,2.3,3.7,3.0,3.3,3.0,2.7,2.7,2.7,3.7,3.3,3.7,2.3,3.0,2.7,2.3,60,2.87,Cyber Security
220065,Siska Hardi,2022,3.0,2.7,2.7,3.7,3.7,2.7,3.0,2.3,2.3,2.0,3.3,4.0,1.0,4.0,1.0,2.3,2.0,3.3,2.7,3.3,60,2.75,AI Engineering
220066,Rizky Barus,2022,2.3,2.0,2.7,3.3,3.7,3.7,3.3,4.0,3.7,4.0,2.0,2.0,1.0,3.7,3.0,3.7,3.0,4.0,3.3,2.0,60,3.02,Cyber Security
220067,Fajar Al-Faris,2022,3.3,2.3,2.3,3.3,2.0,3.0,3.3,2.3,2.3,4.0,3.0,3.7,2.7,4.0,2.7,2.7,3.7,3.0,4.0,3.7,60,3.07,AI Engineering
220068,Dadan Tanjung,2022,3.0,2.7,2.7,3.3,3.7,1.0,3.7,2.0,3.3,3.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,3.3,2.7,2.3,60,2.63,RPL
220069,Dadan Ginting,2022,2.3,3.0,2.0,4.0,3.3,3.7,2.7,1.0,2.7,2.3,3.7,3.3,4.0,3.7,2.3,3.0,3.7,2.3,2.3,4.0,60,2.96,AI Engineering
220070,Nina Rahayu,2022,3.0,1.0,4.0,3.3,2.3,2.7,4.0,4.0,4.0,3.7,2.3,2.3,3.7,3.0,3.0,3.0,2.3,4.0,4.0,3.3,60,3.14,Cyber Security
220071,Bagas Zulkarnain,2022,3.0,3.3,2.0,3.0,2.3,3.7,3.3,4.0,2.0,3.3,4.0,2.7,3.0,1.0,3.3,3.7,3.0,2.3,2.0,3.0,60,2.9,Cyber Security
220072,Zaki Pohan,2022,4.0,3.0,2.0,2.0,1.0,4.0,3.7,3.7,2.3,3.0,3.3,4.0,2.3,4.0,3.0,2.7,1.0,3.0,1.0,4.0,60,2.85,AI Engineering
220073,Putu Mahendra,2022,2.7,1.0,2.0,4.0,2.3,3.0,3.3,2.3,1.0,4.0,3.7,4.0,3.3,4.0,4.0,3.0,2.0,3.0,2.3,3.0,60,2.89,AI Engineering
220074,Rizky Simanjuntak,2022,1.0,3.0,2.0,3.0,2.3,4.0,1.0,3.3,3.7,4.0,3.3,2.7,3.0,2.3,2.7,3.0,2.0,1.0,4.0,3.0,60,2.72,Cyber Security
220075,Farhan Chaniago,2022,4.0,3.0,4.0,3.7,1.0,1.0,3.7,3.3,3.0,4.0,1.0,4.0,4.0,2.3,1.0,3.3,4.0,3.7,2.3,2.3,60,2.93,Cyber Security
220076,Indah Lestari,2022,2.0,1.0,4.0,2.3,2.0,4.0,2.0,3.7,2.3,3.3,4.0,3.3,3.0,4.0,2.7,3.7,3.0,3.0,2.7,3.7,60,2.99,AI Engineering
220077,Dedi Sembiring,2022,3.7,4.0,2.7,3.7,4.0,3.7,2.7,3.7,2.0,2.7,3.3,2.3,3.0,1.0,3.0,3.0,2.0,4.0,1.0,3.0,60,2.92,Cyber Security
220078,Aris Barus,2022,3.0,4.0,2.3,1.0,3.7,3.3,3.3,2.7,2.0,2.3,3.3,3.3,3.7,4.0,3.3,2.3,4.0,3.7,4.0,3.3,60,3.12,RPL
220079,Dewi Chaniago,2022,4.0,3.3,2.3,2.7,3.3,1.0,3.3,2.7,1.0,2.7,4.0,3.7,3.7,3.0,4.0,3.0,2.3,3.0,3.0,2.3,60,2.92,RPL
220080,Citra Barus,2022,2.7,1.0,3.7,2.7,1.0,2.0,2.3,3.3,2.3,1.0,3.3,3.7,1.0,3.3,2.3,2.0,1.0,3.0,1.0,3.0,60,2.28,AI Engineering
220081,Siska Situmorang,2022,4.0,1.0,2.3,4.0,3.0,2.0,3.0,2.7,2.0,2.0,3.3,2.0,3.0,2.0,4.0,3.3,2.3,3.0,3.7,3.3,60,2.79,RPL
220082,Dewi Manurung,2022,3.0,3.7,2.0,2.0,3.7,1.0,4.0,1.0,2.0,2.7,3.0,3.7,3.7,3.0,4.0,3.7,3.3,3.0,2.3,2.7,60,2.88,RPL
220083,Dedi Saputra,2022,3.7,3.7,4.0,2.7,3.7,2.3,3.0,4.0,4.0,3.0,3.7,3.7,4.0,4.0,3.0,4.0,3.7,4.0,3.7,4.0,60,3.6,AI Engineering
220084,Agus Simanjuntak,2022,2.3,2.3,1.0,2.7,3.3,3.7,1.0,3.7,4.0,3.0,3.3,3.0,3.0,3.0,1.0,1.0,3.7,2.0,2.0,4.0,60,2.65,AI Engineering
220085,Bambang Puspita,2022,2.0,3.7,2.3,2.7,3.3,1.0,3.0,2.3,2.0,2.7,3.7,2.3,4.0,2.7,1.0,2.7,2.0,4.0,2.3,2.0,60,2.58,RPL
220086,Dadan Wijaya,2022,3.0,1.0,2.7,3.0,2.7,2.7,3.7,3.3,2.7,2.7,3.7,3.0,4.0,3.7,4.0,2.7,1.0,3.0,4.0,3.7,60,3.02,AI Engineering
220087,Citra Harahap,2022,3.7,3.0,4.0,3.3,4.0,3.0,3.7,4.0,1.0,2.7,3.7,2.7,3.7,3.7,2.0,3.3,3.3,3.0,3.7,2.7,60,3.21,RPL
220088,Rina Puspita,2022,4.0,3.7,4.0,3.7,4.0,2.3,4.0,2.7,3.3,3.3,1.0,3.3,3.7,3.0,1.0,1.0,3.3,3.0,3.3,2.0,60,2.98,RPL
220089,Ayu Fitriani,2022,3.3,1.0,3.3,1.0,3.3,2.7,2.0,2.0,1.0,2.7,3.7,4.0,4.0,3.3,2.3,1.0,2.0,2.7,1.0,3.3,60,2.48,AI Engineering
220090,Tania Barus,2022,3.3,3.0,3.0,3.0,3.0,3.3,3.3,1.0,2.7,2.3,2.7,1.0,3.0,3.3,3.0,3.7,2.7,4.0,4.0,3.7,60,2.95,RPL
220091,Lani Tanjung,2022,1.0,3.3,2.0,3.3,4.0,3.7,3.7,3.7,3.7,3.0,3.3,3.3,2.7,3.7,3.0,3.0,3.0,3.0,3.3,3.3,60,3.15,AI Engineering
220092,Hendra Ramadhan,2022,4.0,2.3,2.0,1.0,4.0,2.3,4.0,2.3,4.0,3.0,3.7,3.7,3.7,3.7,4.0,2.3,3.0,1.0,1.0,3.7,60,2.94,AI Engineering
220093,Bagas Susanto,2022,2.0,3.3,2.7,2.0,2.0,2.7,3.7,3.0,2.3,4.0,3.3,3.7,2.3,4.0,1.0,2.7,2.7,2.3,2.0,3.3,60,2.75,AI Engineering
220094,Bambang Lestari,2022,3.7,2.0,4.0,2.7,4.0,1.0,3.7,4.0,3.3,3.3,4.0,3.0,3.0,1.0,2.7,2.3,3.0,3.3,2.7,4.0,60,3.04,RPL
220095,Dadan Harahap,2022,2.7,3.7,2.7,3.7,3.0,4.0,3.3,3.3,1.0,2.3,3.3,3.7,3.0,2.0,1.0,2.3,2.3,4.0,1.0,1.0,60,2.67,RPL
220096,Siti Mulyono,2022,1.0,3.7,2.7,3.7,3.7,3.0,2.3,3.3,3.3,2.7,2.0,2.3,3.7,1.0,4.0,3.0,3.0,3.0,4.0,2.0,60,2.87,Cyber Security
220097,Gita Puspita,2022,4.0,3.0,3.0,2.0,2.7,1.0,3.0,2.0,3.7,3.3,3.0,3.0,3.3,4.0,2.0,2.0,4.0,3.3,2.3,4.0,60,2.93,AI Engineering
220098,Dewi Kusuma,2022,2.3,3.7,3.7,2.0,3.7,2.3,3.3,2.0,4.0,2.0,1.0,2.3,3.3,2.3,4.0,1.0,3.0,4.0,2.7,2.0,60,2.73,RPL
220099,Rosa Siregar,2022,2.7,2.7,4.0,3.0,4.0,1.0,3.3,3.0,4.0,4.0,2.3,3.7,4.0,2.0,2.3,3.3,2.0,4.0,1.0,3.0,60,2.96,RPL
220100,Hendra Harahap,2022,3.3,1.0,2.7,3.0,3.0,3.7,4.0,2.3,3.7,2.0,3.3,4.0,2.7,3.3,2.3,2.3,2.7,4.0,2.0,4.0,60,2.96,AI Engineering
220101,Citra Situmorang,2022,2.3,4.0,2.0,3.3,4.0,4.0,2.3,4.0,2.7,3.3,4.0,3.7,3.7,2.7,3.7,4.0,1.0,2.7,3.0,3.3,60,3.19,Cyber Security
220102,Maya Kurniawan,2022,1.0,3.7,2.7,3.3,2.0,2.7,3.7,3.0,3.0,3.3,3.0,3.3,1.0,2.3,3.7,3.0,3.3,3.0,3.0,3.7,60,2.88,Cyber Security
220103,Rizky Sitepu,2022,2.3,3.3,2.7,2.3,4.0,3.7,3.7,2.7,1.0,3.7,3.7,3.3,2.3,3.3,2.7,3.0,3.7,3.3,2.0,4.0,60,3.03,AI Engineering
220104,Aris Susanto,2022,3.7,4.0,2.7,2.0,3.7,2.0,3.7,1.0,3.0,3.3,4.0,2.7,3.0,2.0,4.0,3.3,4.0,3.0,3.0,3.7,60,3.09,RPL
220105,Nina Wulandari,2022,3.7,3.0,1.0,2.7,2.0,3.3,2.7,2.3,2.3,2.7,4.0,3.7,3.0,3.0,3.7,2.3,3.7,3.7,4.0,3.7,60,3.03,AI Engineering
220106,Lani Barus,2022,2.7,3.3,4.0,3.7,2.7,3.7,3.3,2.7,2.7,2.0,3.7,3.7,1.0,3.7,3.0,2.3,2.7,3.7,4.0,3.3,60,3.1,AI Engineering
220107,Gani Al-Faris,2022,4.0,4.0,2.3,2.7,2.3,3.7,2.0,4.0,1.0,2.7,4.0,3.0,3.3,4.0,2.3,3.3,2.7,3.3,4.0,3.3,60,3.09,AI Engineering
220108,Bambang Wijaya,2022,2.7,2.0,3.7,3.3,2.7,3.0,4.0,4.0,2.7,2.7,2.3,3.0,3.0,4.0,4.0,3.3,2.0,2.7,3.3,2.0,60,3.02,Cyber Security
220109,Bambang Harahap,2022,2.0,3.3,4.0,2.0,3.7,2.3,1.0,4.0,4.0,3.3,3.7,4.0,3.0,3.3,3.7,4.0,3.7,2.0,2.3,4.0,60,3.17,AI Engineering
220110,Nyoman Simanjuntak,2022,3.0,4.0,3.7,4.0,3.7,4.0,3.7,2.0,2.3,2.0,2.7,3.0,4.0,3.3,2.0,2.3,3.0,4.0,2.3,1.0,60,3.0,RPL
220111,Putu Pohan,2022,3.3,3.3,1.0,2.7,2.0,3.7,3.7,2.0,4.0,2.0,3.0,4.0,3.0,3.3,2.0,4.0,1.0,3.3,3.7,3.7,60,2.94,AI Engineering
220112,Siska Harahap,2022,4.0,2.0,3.0,3.3,2.3,3.3,3.0,4.0,3.0,3.0,3.7,3.7,3.7,3.7,2.7,3.3,1.0,3.3,1.0,4.0,60,3.05,AI Engineering
220113,Taufik Susanto,2022,3.0,1.0,2.0,3.0,3.0,1.0,3.7,3.7,2.0,3.7,2.0,3.3,3.3,3.0,3.0,2.0,2.3,3.3,2.0,3.0,60,2.66,RPL
220114,Citra Siahaan,2022,1.0,2.0,3.7,1.0,3.3,1.0,4.0,2.0,3.7,3.0,3.0,3.3,2.0,3.0,3.7,1.0,3.7,1.0,2.0,3.7,60,2.56,AI Engineering
220115,Ayu Manurung,2022,1.0,2.0,2.0,3.0,3.7,2.3,2.0,2.7,1.0,3.0,3.3,3.3,1.0,3.3,3.0,2.3,1.0,2.3,2.7,3.7,60,2.43,AI Engineering
220116,Tania Tanjung,2022,2.0,2.7,2.7,3.3,4.0,2.7,2.7,2.0,2.0,3.3,3.7,3.0,3.0,3.3,1.0,3.3,1.0,2.0,2.0,3.7,60,2.67,AI Engineering
220117,Euis Pasaribu,2022,1.0,2.7,2.3,2.7,3.7,1.0,4.0,2.0,4.0,3.7,1.0,3.7,4.0,2.7,3.0,4.0,3.3,3.0,3.0,4.0,60,2.94,RPL
220118,Nyoman Setiawan,2022,1.0,3.7,2.7,4.0,1.0,2.7,3.3,3.7,1.0,4.0,3.3,3.7,2.3,3.0,1.0,3.7,3.7,4.0,3.7,3.7,60,2.96,AI Engineering
220119,Ayu Wijaya,2022,4.0,4.0,2.0,3.7,3.3,3.0,3.3,3.7,3.3,3.7,3.7,2.7,3.7,3.3,3.3,3.0,2.0,2.7,2.3,3.0,60,3.19,Cyber Security
220120,Gita Nasution,2022,3.3,2.3,3.3,3.3,2.0,2.7,3.7,1.0,2.3,2.3,3.7,3.7,1.0,4.0,3.7,2.0,3.7,2.3,4.0,3.7,60,2.9,AI Engineering
220121,Fajar Pohan,2022,2.7,3.3,4.0,2.7,3.3,1.0,3.7,1.0,1.0,4.0,1.0,4.0,3.0,1.0,4.0,3.3,3.3,3.7,2.0,2.3,60,2.71,RPL
220122,Nina Barus,2022,4.0,2.7,3.3,2.3,3.3,2.0,3.3,3.0,3.7,1.0,3.7,3.7,3.3,3.3,2.3,1.0,2.3,4.0,1.0,2.7,60,2.79,RPL
220123,Hana Kurniawan,2022,2.3,3.7,3.7,3.0,2.7,2.7,2.3,3.3,3.7,1.0,2.0,4.0,2.0,4.0,2.0,3.3,3.7,2.7,3.0,3.3,60,2.92,Cyber Security
220124,Fajar Manurung,2022,3.0,2.3,2.7,3.0,2.7,3.0,3.7,3.3,2.0,4.0,3.0,4.0,4.0,3.0,1.0,3.3,2.7,3.3,3.0,3.0,60,3.0,AI Engineering
220125,Gita Wijaya,2022,2.3,1.0,3.3,3.0,3.3,3.3,3.3,2.3,2.7,2.0,2.3,3.0,3.3,4.0,4.0,3.7,2.0,3.3,3.7,2.7,60,2.93,RPL
220126,Nyoman Kurniawan,2022,3.0,1.0,1.0,3.0,3.3,3.0,3.3,3.0,3.7,1.0,3.7,3.3,2.0,2.3,3.0,3.7,3.0,3.0,4.0,3.7,60,2.85,Cyber Security
