nama,tahun_data,matematika,pemrograman_dasar,basis_data,jaringan_komputer,kecerdasan_buatan,struktur_data,statistika,sistem_operasi,pbo,minat_jurusan
Indah Hidayat,2022,3.7,3.0,1.0,2.0,3.7,2.0,3.7,2.3,4.0,AI Engineering
Joko Chaniago,2022,3.3,4.0,2.0,2.3,4.0,2.0,3.7,1.0,1.0,AI Engineering
Putu Siregar,2022,3.0,4.0,3.0,3.3,3.0,3.3,2.3,4.0,3.0,RPL
Rosa Barus,2022,2.0,2.3,4.0,3.0,3.7,2.3,2.3,3.7,2.3,Cyber Security
Gani Susanto,2022,2.0,4.0,3.3,2.0,3.7,4.0,2.3,2.3,3.3,RPL
Aris Utami,2022,2.0,3.0,3.3,2.7,3.3,4.0,3.3,3.3,4.0,RPL
Laila Pohan,2022,3.0,1.0,2.7,3.0,3.3,4.0,3.3,4.0,2.3,AI Engineering
Dewi Saputra,2022,3.0,3.7,4.0,3.3,2.7,3.3,4.0,2.3,4.0,RPL
Gani Siregar,2022,3.3,1.0,3.3,3.0,3.3,2.3,3.3,1.0,3.0,AI Engineering
Euis Hardi,2022,4.0,2.7,2.3,3.0,2.3,4.0,3.7,3.3,1.0,Cyber Security
Euis Pratama,2022,1.0,3.3,3.7,4.0,2.3,2.0,4.0,3.0,2.7,Cyber Security
Made Mulyono,2022,3.3,3.7,3.0,3.3,3.3,3.7,1.0,3.7,3.0,RPL
Indah Wulandari,2022,3.3,3.3,2.0,2.0,3.0,2.0,3.7,3.3,1.0,AI Engineering
Bambang Fitriani,2022,3.3,3.0,2.3,4.0,4.0,2.3,4.0,2.7,4.0,AI Engineering
Euis Harahap,2022,3.3,2.0,2.3,3.7,3.7,1.0,3.0,2.0,2.3,AI Engineering
Dedi Hasibuan,2022,2.7,2.0,3.7,3.3,2.7,3.3,3.0,3.0,2.3,Cyber Security
Agus Lubis,2022,4.0,2.3,4.0,4.0,2.7,3.7,2.7,3.0,3.0,Cyber Security
Vina Wulandari,2022,3.0,1.0,3.7,2.3,3.0,2.7,4.0,3.7,3.7,AI Engineering
Farhan Fitriani,2022,1.0,1.0,4.0,4.0,1.0,3.7,3.7,3.7,4.0,Cyber Security
Fajar Sari,2022,3.0,3.3,1.0,2.3,3.7,2.3,3.3,2.3,2.7,AI Engineering
Joko Barus,2022,4.0,3.0,2.0,3.0,2.7,4.0,2.3,3.3,2.0,Cyber Security
Hendra Saputra,2022,2.7,4.0,3.7,3.0,2.7,2.7,1.0,3.3,2.0,Cyber Security
Maya Lubis,2022,2.0,3.0,4.0,3.3,1.0,3.7,2.3,1.0,4.0,RPL
Eko Lestari,2022,4.0,1.0,2.3,3.3,3.3,2.0,2.3,3.0,3.0,Cyber Security
Euis Simanjuntak,2022,3.3,2.0,3.0,1.0,4.0,2.7,3.7,3.3,1.0,AI Engineering
Citra Pasaribu,2022,3.3,4.0,3.3,2.3,2.7,3.0,3.7,2.7,3.0,RPL
Lani Utami,2022,3.0,3.3,3.3,3.3,2.0,3.7,2.7,3.0,3.7,RPL
Zaki Pratama,2022,1.0,3.7,4.0,2.0,1.0,4.0,1.0,3.7,4.0,RPL
Budi Utami,2022,2.7,3.0,4.0,2.7,1.0,4.0,3.3,3.0,3.0,RPL
Tania Ginting,2022,3.3,3.0,3.7,2.0,4.0,2.0,3.3,3.7,3.3,AI Engineering
Ayu Manurung,2022,2.7,3.7,3.0,3.3,2.7,3.0,3.7,3.3,4.0,RPL
Agus Santoso,2022,3.0,2.3,2.7,2.3,4.0,4.0,3.7,3.7,3.3,AI Engineering
Dedi Ramadhan,2022,3.3,3.7,2.7,2.7,3.3,3.0,3.7,3.7,2.0,AI Engineering
Ayu Siahaan,2022,4.0,3.7,3.3,2.0,3.3,4.0,2.7,4.0,3.3,RPL
Rosa Simanjuntak,2022,2.3,2.0,1.0,3.7,4.0,3.0,3.7,3.3,4.0,Cyber Security
Doni Sitepu,2022,1.0,3.0,3.0,1.0,1.0,3.0,3.7,1.0,4.0,RPL
Euis Siregar,2022,2.3,1.0,1.0,4.0,2.3,3.7,3.0,3.0,2.7,Cyber Security
Eko Barus,2022,3.7,2.7,1.0,3.7,3.7,3.7,4.0,2.3,2.7,AI Engineering
Lani Siregar,2022,3.7,3.3,3.7,1.0,3.7,3.0,1.0,3.0,3.7,RPL
Zaki Siahaan,2022,2.0,4.0,3.3,4.0,1.0,3.0,3.3,4.0,4.0,RPL
Farhan Pratama,2022,2.0,1.0,2.7,3.3,2.3,2.3,3.0,3.7,4.0,Cyber Security
Lani Fitriani,2022,2.3,1.0,3.7,3.0,2.7,2.7,3.7,3.7,3.0,Cyber Security
Siska Hardi,2022,3.3,3.7,3.0,2.3,3.3,1.0,4.0,2.3,3.3,AI Engineering
Rizky Barus,2022,2.0,3.7,3.3,4.0,2.0,1.0,3.7,3.7,4.0,Cyber Security
Fajar Al-Faris,2022,3.7,2.0,3.3,2.3,3.0,2.7,4.0,2.7,3.0,AI Engineering
Dadan Tanjung,2022,2.3,3.7,3.7,2.0,1.0,3.0,2.0,3.0,3.3,RPL
Dadan Ginting,2022,4.0,3.3,2.7,1.0,3.7,4.0,3.7,3.0,2.3,AI Engineering
Nina Rahayu,2022,3.3,2.3,4.0,4.0,2.3,3.7,3.0,3.0,4.0,Cyber Security
Bagas Zulkarnain,2022,3.0,2.3,3.3,4.0,4.0,3.0,1.0,3.7,2.3,Cyber Security
Zaki Pohan,2022,4.0,1.0,3.7,3.7,3.3,2.3,4.0,2.7,3.0,AI Engineering
Putu Mahendra,2022,3.0,2.3,3.3,2.3,3.7,3.3,4.0,3.0,3.0,AI Engineering
Rizky Simanjuntak,2022,3.0,2.3,1.0,3.3,3.3,3.0,2.3,3.0,1.0,Cyber Security
Farhan Chaniago,2022,2.3,1.0,3.7,3.3,1.0,4.0,2.3,3.3,3.7,Cyber Security
Indah Lestari,2022,3.7,2.0,2.0,3.7,4.0,3.0,4.0,3.7,3.0,AI Engineering
Dedi Sembiring,2022,3.0,4.0,2.7,3.7,3.3,3.0,1.0,3.0,4.0,Cyber Security
Aris Barus,2022,3.3,3.7,3.3,2.7,3.3,3.7,4.0,2.3,3.7,RPL
Dewi Chaniago,2022,2.3,3.3,3.3,2.7,4.0,3.7,3.0,3.0,3.0,RPL
Citra Barus,2022,3.0,1.0,2.3,3.3,3.3,1.0,3.3,2.0,3.0,AI Engineering
Siska Situmorang,2022,3.3,3.0,3.0,2.7,3.3,3.0,2.0,3.3,3.0,RPL
Dewi Manurung,2022,2.7,3.7,4.0,1.0,3.0,3.7,3.0,3.7,3.0,RPL
Dedi Saputra,2022,4.0,3.7,3.0,4.0,3.7,4.0,4.0,4.0,4.0,AI Engineering
Agus Simanjuntak,2022,4.0,3.3,1.0,3.7,3.3,3.0,3.0,1.0,2.0,AI Engineering
Bambang Puspita,2022,2.0,3.3,3.0,2.3,3.7,4.0,2.7,2.7,4.0,RPL
Dadan Wijaya,2022,3.7,2.7,3.7,3.3,3.7,4.0,3.7,2.7,3.0,AI Engineering
Citra Harahap,2022,2.7,4.0,3.7,4.0,3.7,3.7,3.7,3.3,3.0,RPL
Rina Puspita,2022,2.0,4.0,4.0,2.7,1.0,3.7,3.0,1.0,3.0,RPL
Ayu Fitriani,2022,3.3,3.3,2.0,2.0,3.7,4.0,3.3,1.0,2.7,AI Engineering
Tania Barus,2022,3.7,3.0,3.3,1.0,2.7,3.0,3.3,3.7,4.0,RPL
Lani Tanjung,2022,3.3,4.0,3.7,3.7,3.3,2.7,3.7,3.0,3.0,AI Engineering
Hendra Ramadhan,2022,3.7,4.0,4.0,2.3,3.7,3.7,3.7,2.3,1.0,AI Engineering
Bagas Susanto,2022,3.3,2.0,3.7,3.0,3.3,2.3,4.0,2.7,2.3,AI Engineering
Bambang Lestari,2022,4.0,4.0,3.7,4.0,4.0,3.0,1.0,2.3,3.3,RPL
Dadan Harahap,2022,1.0,3.0,3.3,3.3,3.3,3.0,2.0,2.3,4.0,RPL
Siti Mulyono,2022,2.0,3.7,2.3,3.3,2.0,3.7,1.0,3.0,3.0,Cyber Security
Gita Puspita,2022,4.0,2.7,3.0,2.0,3.0,3.3,4.0,2.0,3.3,AI Engineering
Dewi Kusuma,2022,2.0,3.7,3.3,2.0,1.0,3.3,2.3,1.0,4.0,RPL
Rosa Siregar,2022,3.0,4.0,3.3,3.0,2.3,4.0,2.0,3.3,4.0,RPL
Hendra Harahap,2022,4.0,3.0,4.0,2.3,3.3,2.7,3.3,2.3,4.0,AI Engineering
Citra Situmorang,2022,3.3,4.0,2.3,4.0,4.0,3.7,2.7,4.0,2.7,Cyber Security
Maya Kurniawan,2022,3.7,2.0,3.7,3.0,3.0,1.0,2.3,3.0,3.0,Cyber Security
Rizky Sitepu,2022,4.0,4.0,3.7,2.7,3.7,2.3,3.3,3.0,3.3,AI Engineering
Aris Susanto,2022,3.7,3.7,3.7,1.0,4.0,3.0,2.0,3.3,3.0,RPL
Nina Wulandari,2022,3.7,2.0,2.7,2.3,4.0,3.0,3.0,2.3,3.7,AI Engineering
Lani Barus,2022,3.3,2.7,3.3,2.7,3.7,1.0,3.7,2.3,3.7,AI Engineering
Gani Al-Faris,2022,3.3,2.3,2.0,4.0,4.0,3.3,4.0,3.3,3.3,AI Engineering
Bambang Wijaya,2022,2.0,2.7,4.0,4.0,2.3,3.0,4.0,3.3,2.7,Cyber Security
Bambang Harahap,2022,4.0,3.7,1.0,4.0,3.7,3.0,3.3,4.0,2.0,AI Engineering
Nyoman Simanjuntak,2022,1.0,3.7,3.7,2.0,2.7,4.0,3.3,2.3,4.0,RPL
Putu Pohan,2022,3.7,2.0,3.7,2.0,3.0,3.0,3.3,4.0,3.3,AI Engineering
Siska Harahap,2022,4.0,2.3,3.0,4.0,3.7,3.7,3.7,3.3,3.3,AI Engineering
Taufik Susanto,2022,3.0,3.0,3.7,3.7,2.0,3.3,3.0,2.0,3.3,RPL
Citra Siahaan,2022,3.7,3.3,4.0,2.0,3.0,2.0,3.0,1.0,1.0,AI Engineering
Ayu Manurung,2022,3.7,3.7,2.0,2.7,3.3,1.0,3.3,2.3,2.3,AI Engineering
Tania Tanjung,2022,3.7,4.0,2.7,2.0,3.7,3.0,3.3,3.3,2.0,AI Engineering
Euis Pasaribu,2022,4.0,3.7,4.0,2.0,1.0,4.0,2.7,4.0,3.0,RPL
Nyoman Setiawan,2022,3.7,1.0,3.3,3.7,3.3,2.3,3.0,3.7,4.0,AI Engineering
Ayu Wijaya,2022,3.0,3.3,3.3,3.7,3.7,3.7,3.3,3.0,2.7,Cyber Security
Gita Nasution,2022,3.7,2.0,3.7,1.0,3.7,1.0,4.0,2.0,2.3,AI Engineering
Fajar Pohan,2022,2.3,3.3,3.7,1.0,1.0,3.0,1.0,3.3,3.7,RPL
Nina Barus,2022,2.7,3.3,3.3,3.0,3.7,3.3,3.3,1.0,4.0,RPL
Hana Kurniawan,2022,3.3,2.7,2.3,3.3,2.0,2.0,4.0,3.3,2.7,Cyber Security
Fajar Manurung,2022,3.0,2.7,3.7,3.3,3.0,4.0,3.0,3.3,3.3,AI Engineering
Gita Wijaya,2022,2.7,3.3,3.3,2.3,2.3,3.3,4.0,3.7,3.3,RPL
Nyoman Kurniawan,2022,3.7,3.3,3.3,3.0,3.7,2.0,2.3,3.7,3.0,Cyber Security
Dedi Setiawan,2022,3.0,3.7,3.7,2.7,3.3,1.0,3.7,2.7,4.0,AI Engineering
Vina Rahayu,2022,3.0,3.3,2.0,3.7,3.0,3.7,3.7,4.0,2.7,Cyber Security
Eko Fitriani,2022,3.7,3.3,3.3,4.0,1.0,3.0,1.0,3.7,3.3,RPL
Aris Wijaya,2022,3.3,4.0,3.0,1.0,2.7,3.0,2.0,1.0,3.7,RPL
Eko Saputra,2022,4.0,3.3,3.7,3.7,3.0,3.0,4.0,3.7,4.0,RPL
Indah Fitriani,2022,2.3,3.7,3.3,2.3,1.0,4.0,3.3,2.3,3.7,RPL
Dewi Barus,2022,2.0,4.0,3.3,3.7,1.0,3.0,2.7,3.0,3.3,RPL
Lani Sitepu,2022,1.0,2.3,2.3,3.0,1.0,2.0,2.7,3.3,1.0,Cyber Security
Putri Susanto,2022,2.7,3.3,3.3,2.7,4.0,3.3,2.0,3.3,4.0,RPL
Joko Siregar,2022,3.3,3.7,2.3,3.3,3.3,3.0,2.0,3.7,3.7,Cyber Security
Taufik Mahendra,2022,4.0,3.7,2.3,4.0,3.0,1.0,4.0,3.7,2.0,AI Engineering
Bagas Utami,2022,4.0,2.3,3.7,3.0,4.0,4.0,3.0,1.0,2.0,AI Engineering
Dadan Pasaribu,2022,2.0,4.0,2.3,4.0,4.0,2.0,3.3,3.0,2.0,Cyber Security
Farhan Saputra,2022,4.0,3.3,3.0,2.3,1.0,3.0,2.0,3.0,3.0,RPL
Hendra Ginting,2022,2.0,4.0,4.0,2.3,3.0,3.0,2.3,3.7,3.0,RPL
Nyoman Santoso,2022,2.0,3.0,3.7,1.0,1.0,3.7,2.7,2.7,4.0,RPL
Zaki Wijaya,2022,2.7,3.0,3.0,1.0,2.3,3.0,2.3,3.7,4.0,RPL
Aris Hardi,2022,2.7,2.0,2.7,4.0,3.0,2.3,4.0,3.0,2.7,Cyber Security
Doni Manurung,2022,3.0,3.0,3.7,2.3,2.3,3.7,3.7,1.0,4.0,RPL
Dewi Lestari,2022,3.3,3.7,2.0,4.0,3.3,2.0,3.7,2.0,2.7,AI Engineering
Citra Fitriani,2022,4.0,3.3,3.7,3.3,2.0,3.3,2.3,3.7,3.0,RPL
Dedi Rahayu,2022,2.7,3.7,3.0,2.7,2.7,3.7,3.3,4.0,4.0,RPL
Gani Hidayat,2022,3.3,3.3,2.7,3.0,3.0,3.0,3.3,1.0,3.3,AI Engineering
Hana Santoso,2022,3.7,4.0,2.7,1.0,3.3,2.7,4.0,3.7,3.3,AI Engineering
Doni Al-Faris,2022,4.0,3.0,2.3,4.0,3.7,3.0,4.0,2.7,4.0,AI Engineering
Dadan Santoso,2022,2.3,3.0,3.3,1.0,3.7,4.0,4.0,2.0,3.3,RPL
Eko Simanjuntak,2022,2.7,3.3,3.3,3.3,1.0,4.0,4.0,4.0,3.0,RPL
Gita Nasution,2022,4.0,3.7,3.0,3.3,2.0,4.0,3.0,3.7,3.3,RPL
Siti Siregar,2022,2.3,4.0,3.3,3.0,1.0,3.7,1.0,3.3,3.0,RPL
Rosa Ramadhan,2022,2.7,3.3,3.7,3.0,2.7,3.3,4.0,2.7,3.0,RPL
Taufik Hidayat,2022,3.3,3.3,2.3,4.0,3.0,1.0,2.3,3.3,2.0,Cyber Security
Rina Ramadhan,2022,3.0,3.7,3.0,2.7,3.0,4.0,4.0,4.0,2.0,AI Engineering
Budi Puspita,2022,3.0,3.3,3.0,3.3,3.7,3.3,2.0,3.7,3.3,RPL
Putri Hardi,2022,3.0,4.0,4.0,3.7,4.0,4.0,3.3,2.0,3.3,AI Engineering
Aris Puspita,2022,2.0,3.7,2.7,3.7,3.7,3.3,4.0,4.0,3.7,Cyber Security
Agus Ginting,2022,3.7,2.3,3.7,3.7,4.0,2.3,2.3,3.3,2.3,Cyber Security
Aris Pasaribu,2022,3.0,2.3,2.3,3.0,4.0,2.3,4.0,3.7,2.3,AI Engineering
Gani Kusuma,2022,2.3,2.3,3.3,4.0,3.3,2.0,2.7,3.7,3.3,Cyber Security
Laila Barus,2022,3.0,2.0,2.3,4.0,2.0,4.0,2.0,3.7,2.7,Cyber Security
Putri Aminah,2022,2.7,2.3,3.0,4.0,2.3,4.0,1.0,3.3,1.0,Cyber Security
Joko Ginting,2022,3.3,3.0,4.0,3.7,1.0,3.7,3.7,3.7,3.7,RPL
Dedi Hidayat,2022,3.0,3.7,1.0,3.7,3.3,4.0,4.0,3.3,3.3,AI Engineering
Dedi Hidayat,2022,3.3,3.0,2.0,2.7,3.3,1.0,3.3,3.7,2.3,AI Engineering
Gani Mahendra,2022,2.3,3.0,3.3,4.0,4.0,2.0,3.3,3.3,2.0,Cyber Security
Dewi Kurniawan,2022,1.0,1.0,2.3,3.0,3.3,1.0,3.3,3.7,2.0,Cyber Security
Nyoman Barus,2022,1.0,3.0,3.7,1.0,3.0,3.7,2.3,2.0,3.3,RPL
Aris Pasaribu,2022,1.0,2.0,1.0,4.0,2.3,1.0,1.0,3.7,2.0,Cyber Security
Bambang Wijaya,2022,3.3,3.0,3.3,3.3,2.0,1.0,3.3,3.7,4.0,Cyber Security
Farhan Sitepu,2022,4.0,2.3,2.0,2.3,3.7,3.7,4.0,3.7,1.0,AI Engineering
Andi Wulandari,2022,2.0,3.7,3.0,4.0,2.7,3.3,3.3,3.7,3.7,RPL
Siska Barus,2022,4.0,3.0,4.0,2.3,4.0,4.0,2.0,1.0,3.7,RPL
Farhan Wijaya,2022,2.0,3.3,3.3,2.0,3.0,3.0,2.7,4.0,4.0,RPL
Doni Mahendra,2022,4.0,4.0,4.0,3.0,4.0,3.0,3.3,2.0,3.0,RPL
Rizky Mulyono,2022,2.0,4.0,4.0,4.0,3.3,4.0,3.3,3.3,3.3,RPL
Nyoman Hidayat,2022,3.0,4.0,4.0,3.0,2.7,3.7,3.0,3.3,4.0,RPL
Andi Kurniawan,2022,3.0,2.7,4.0,3.0,3.3,4.0,4.0,1.0,2.3,AI Engineering
Rina Siahaan,2022,3.3,4.0,3.7,3.0,2.7,3.3,2.0,1.0,3.3,RPL
Laila Susanto,2022,2.3,3.3,3.7,3.3,2.0,3.3,2.3,3.3,3.0,RPL
Putri Kusuma,2022,3.0,2.0,2.7,2.3,3.0,3.7,3.7,3.0,3.3,AI Engineering
Made Puspita,2022,4.0,3.0,4.0,3.3,3.3,1.0,3.7,1.0,2.3,AI Engineering
Putu Chaniago,2022,3.0,2.3,3.3,4.0,2.7,3.7,3.3,3.3,3.0,Cyber Security
Rina Lubis,2022,3.0,1.0,2.7,2.7,3.0,3.7,3.7,2.7,2.0,AI Engineering
Rina Chaniago,2022,3.3,2.7,2.3,3.7,3.0,3.0,3.0,4.0,3.7,Cyber Security
Rizky Sitepu,2022,3.0,3.7,1.0,3.7,2.7,2.0,3.0,3.7,2.7,Cyber Security
Gani Hardi,2022,3.3,3.0,3.0,3.7,4.0,3.3,3.3,3.7,3.3,RPL
Dadan Ramadhan,2022,2.7,2.0,3.7,3.0,2.3,3.0,1.0,3.7,3.7,Cyber Security
Zaki Hardi,2022,3.7,2.3,3.0,3.7,3.0,3.0,2.3,3.7,3.3,Cyber Security
Vina Pohan,2022,2.7,2.7,2.7,3.3,3.3,3.0,2.3,3.7,2.3,Cyber Security
Andi Simanjuntak,2022,3.0,3.3,2.3,3.0,3.7,3.0,4.0,2.0,3.0,AI Engineering
Farhan Tanjung,2022,2.7,4.0,4.0,4.0,2.0,4.0,2.7,2.7,3.7,RPL
Dedi Siahaan,2022,3.0,3.7,3.3,3.0,2.7,2.0,3.7,3.0,2.7,Cyber Security
Siska Santoso,2022,2.7,3.0,3.0,3.3,3.7,3.7,3.0,3.7,4.0,Cyber Security
Rosa Harahap,2022,2.3,4.0,3.7,1.0,2.0,3.3,3.7,3.7,3.0,RPL
Zaki Utami,2022,3.0,3.0,4.0,4.0,4.0,3.7,3.7,4.0,2.3,Cyber Security
Iwan Siahaan,2023,2.3,2.7,1.0,3.7,3.3,2.0,3.7,3.3,4.0,Cyber Security
Rina Zulkarnain,2023,3.0,2.3,3.7,4.0,2.7,2.0,1.0,3.3,3.3,Cyber Security
Dewi Hardi,2023,4.0,3.3,3.7,2.3,3.0,3.0,2.7,2.3,3.0,RPL
Aris Simanjuntak,2023,2.3,4.0,3.3,3.0,3.7,3.0,3.7,2.7,3.7,RPL
Budi Siregar,2023,3.3,3.3,3.0,3.3,2.3,4.0,2.0,2.7,4.0,RPL
Lani Pasaribu,2023,2.0,4.0,2.7,3.3,3.0,2.7,2.0,3.0,1.0,Cyber Security
Lani Puspita,2023,3.3,3.0,2.7,3.0,3.7,4.0,2.3,4.0,3.3,Cyber Security
Nyoman Sitepu,2023,4.0,3.0,3.0,2.7,3.3,2.7,3.3,2.7,2.7,AI Engineering
Hana Siregar,2023,4.0,4.0,3.3,4.0,1.0,3.0,3.7,2.3,3.0,RPL
Aris Kusuma,2023,2.7,2.3,4.0,3.0,3.7,3.3,2.7,3.7,2.7,Cyber Security
Laila Saputra,2023,3.7,3.0,3.0,1.0,4.0,2.3,3.3,2.0,4.0,AI Engineering
Hana Wijaya,2023,3.0,3.0,1.0,4.0,4.0,4.0,3.7,1.0,3.0,AI Engineering
Putu Ramadhan,2023,3.3,3.3,3.3,3.0,3.3,3.7,2.3,3.7,2.0,Cyber Security
Eko Al-Faris,2023,2.0,2.7,4.0,3.0,3.0,3.3,3.0,3.7,2.7,Cyber Security
Tania Wijaya,2023,3.3,3.3,4.0,2.3,4.0,3.7,4.0,3.0,4.0,RPL
Zaki Siregar,2023,3.7,3.3,3.3,3.3,4.0,4.0,4.0,3.7,2.3,AI Engineering
Bagas Manurung,2023,2.3,2.3,3.3,3.0,1.0,3.0,4.0,3.0,4.0,Cyber Security
Maya Hasibuan,2023,3.3,1.0,2.3,3.3,4.0,4.0,4.0,2.7,2.0,AI Engineering
Citra Sari,2023,4.0,4.0,3.0,4.0,2.3,3.3,1.0,2.3,4.0,RPL
Budi Mulyono,2023,4.0,3.7,2.0,2.0,3.3,2.7,3.7,2.0,3.0,AI Engineering
Hendra Susanto,2023,2.0,3.7,3.0,2.7,4.0,3.7,2.3,4.0,4.0,RPL
Made Ginting,2023,3.7,3.7,1.0,3.3,4.0,2.7,4.0,3.3,3.7,AI Engineering
Dedi Kusuma,2023,1.0,3.0,3.3,3.3,2.3,3.0,3.0,2.7,3.0,RPL
Gani Setiawan,2023,3.0,2.3,2.0,3.3,4.0,1.0,3.7,4.0,1.0,Cyber Security
Indah Sembiring,2023,2.0,1.0,1.0,3.0,2.0,1.0,3.7,3.0,3.0,Cyber Security
Nyoman Barus,2023,3.7,2.0,2.0,3.0,3.0,1.0,3.3,3.7,3.0,Cyber Security
Fajar Pasaribu,2023,2.7,4.0,3.7,3.0,3.7,3.3,2.0,3.7,3.0,Cyber Security
Zaki Susanto,2023,4.0,3.7,1.0,2.3,4.0,2.3,3.0,2.0,3.7,AI Engineering
Dedi Saputra,2023,3.7,1.0,4.0,3.3,3.0,3.0,4.0,2.0,2.0,AI Engineering
Rosa Tanjung,2023,4.0,1.0,2.7,4.0,2.0,3.0,2.7,4.0,1.0,Cyber Security
Putu Pratama,2023,3.7,4.0,3.7,3.0,2.3,2.7,2.7,3.3,3.7,Cyber Security
Putri Setiawan,2023,2.7,3.3,3.7,3.7,1.0,4.0,1.0,4.0,3.3,RPL
Gita Lestari,2023,2.3,3.7,3.0,3.3,2.0,3.3,2.7,3.0,3.0,RPL
Dedi Hasibuan,2023,2.0,3.7,3.3,3.0,3.3,3.7,4.0,4.0,3.7,RPL
Hendra Lubis,2023,2.7,4.0,3.0,3.3,1.0,4.0,3.3,1.0,3.0,RPL
Rosa Wijaya,2023,3.7,2.3,4.0,2.7,3.3,3.7,4.0,2.3,2.7,AI Engineering
Dewi Ramadhan,2023,3.7,4.0,1.0,1.0,3.7,2.3,4.0,4.0,2.7,AI Engineering
Agus Susanto,2023,3.0,1.0,2.7,1.0,3.3,4.0,3.7,2.7,3.3,AI Engineering
Fajar Lestari,2023,2.0,3.0,3.0,4.0,1.0,3.0,3.3,3.0,2.0,Cyber Security
Tania Siahaan,2023,4.0,3.7,4.0,3.7,1.0,3.3,4.0,4.0,3.7,RPL
Iwan Ramadhan,2023,3.0,1.0,2.0,4.0,3.3,1.0,4.0,3.3,3.0,AI Engineering
Laila Kurniawan,2023,3.7,3.0,2.0,2.7,3.7,3.7,3.7,3.7,1.0,AI Engineering
Made Tanjung,2023,4.0,3.7,3.7,3.3,2.0,3.3,2.3,3.0,2.7,Cyber Security
Taufik Aminah,2023,3.7,3.3,4.0,1.0,3.3,2.7,3.3,3.0,3.3,AI Engineering
Nina Wijaya,2023,1.0,3.0,3.3,1.0,3.3,3.7,2.7,3.0,3.0,RPL
Andi Saputra,2023,3.3,2.7,2.3,3.3,2.3,4.0,2.3,3.0,3.0,Cyber Security
Zaki Fitriani,2023,4.0,4.0,2.7,1.0,3.7,2.7,3.7,3.7,2.0,AI Engineering
Siti Zulkarnain,2023,3.0,4.0,4.0,2.7,2.3,4.0,3.3,3.0,4.0,RPL
Nina Zulkarnain,2023,4.0,2.0,3.0,3.7,3.7,2.3,2.3,3.0,4.0,Cyber Security
Dedi Mulyono,2023,1.0,3.3,4.0,2.7,1.0,3.0,3.0,3.3,4.0,RPL
Budi Mulyono,2023,1.0,4.0,3.7,2.7,1.0,3.0,4.0,2.3,3.7,RPL
Gita Nasution,2023,3.0,3.0,3.7,3.7,3.7,3.7,3.0,2.3,2.7,AI Engineering
Andi Sari,2023,2.7,4.0,3.0,4.0,4.0,4.0,1.0,2.3,4.0,RPL
Hana Pohan,2023,2.7,4.0,3.0,3.7,3.7,3.0,4.0,1.0,4.0,RPL
Andi Ginting,2023,3.7,2.7,3.0,2.7,3.7,2.3,3.0,3.0,3.0,AI Engineering
Siti Hasibuan,2023,2.7,3.0,3.3,2.3,2.0,3.7,3.0,2.3,3.7,RPL
